Subject,Category
[SUBMISSIONS] The Wellesley Review Fall 2019 Issue - 1 Update,i
Have you lost a tablet? - 1 Update,t
[Counterpoint] Submissions for September - 1 Update,i
KSA Eboard and Culture Show Interest Meeting Tomorrow! - 1 Update,u
"CSA Mid-Autumn Festival: Mooncakes, Dinner, and More!  - 1 Update",u
THURSDAY: Dead Serious Auditions - 1 Update,a
Marlon James writes African Game of Thrones? - 1 Update,w
"9/26 @4:30 - Jean Kilbourne '64, Killing Us Softly: Advertising's Image of Women - 1 Update",w
TODAY!! National Theater Institute Workshop - 1 Update,a
Pre-law Society General Meeting - 1 Update,i
Join Hippocratic Society for our first open meeting! - 1 Update,i
Bloomberg Tabling Event @ Lulu 4th Floor - 1 Update,w
CS Club Executive Board Fall 2019 Elections Ballot  - 1 Update,i
TODAY: Meet 3 UN Diplomats! - 1 Update,i
Lost Bose AR Sunglasses on Tuesday LM bus - 1 Update,t
[SOIs Due Tonight] Wellesley Computer Science Club Treasurer & Workshop Chair Positions Open - 2 Updates,i
Consulting Club E-board - 1 Update,i
Lost Wallet: Found!! - 1 Update,t
TUNE IN TO WCTV NEWS TONIGHT @8:30PM! (Featuring: Jun Ru Anderson) - 1 Update,i
APPLY TO HONOR CODE COUNCIL - 1 Update,w
[Happening Now] Poster Making for the Climate Strike! - 1 Update,p
FS Presents: Summer Road Trip/Open Meeting! - 2 Updates,i
KSA Eboard and Culture Show Interest Meeting TODAY! - 2 Updates,u
Hong Kong @ Wellesley FB group chat - 1 Update,i
Topics for The Wellesley News Issue No. 2 - 1 Update,i
[CTF] IN ONE HOUR: Second meeting of the year!  - 1 Update,i
[HIIT tonight] - 1 Update,o
lost earring truly sorry for spam - 1 Update,t
spin w/ steph cancelled - 1 Update,o
Please Read - 1 Update,x
Stone Center Groups and Outreach - 1 Update,r
SPAN 263 and SPAN 329 Open Class - 1 Update,i
[WADO] BTS! Chinese Traditional Dance! HKT48! - 1 Update,a
[QUIDDITCH] Quidditch Open Practice Tomorrow! - 1 Update,o
HCI Lab Open House TOMORROW - 1 Update,i
[Today] Symphony Church Family Group! - 1 Update,i
SPIN @ 4:30! - 1 Update,o
TOMORROW 9/19 @1pm - Science+Art: Designing Accessible Ed for Students in Nigeria - 1 Update,w
Reminder: Chess club today at 5 - 1 Update,i
[TODAY] Climate Strike Reflection! - 1 Update,p
Join CCAC E-board if you are interested in Chinese Classical Art! - 1 Update,i
[BHE APPLICATION] There's Still Time to BE a BHE! - 1 Update,e
LGBTQ+ Perspectives on Study Abroad! - 1 Update,w
[ASU]INVITATION TO SIGN UP FOR BIG/LITTLE  - 1 Update,u
🏾AMNESTY INT'L MEETING TODAY @4PM - 1 Update,p
[Wellesley Anime] Looking for E-board members! - 1 Update,i
"Gardening in the EETG Thursday, 9/26 1-4pm - 1 Update",i
[TCO] Apply and join our EBoard! - 1 Update,u
[TOMORROW] KSA PRESENTS: EUPHORIA !!! - 1 Update,u
RAD Classes! - 2 Updates,o
EDIT FOR RIOT TV - 1 Update,i
✡️New Hillel Email List ✡️ - 1 Update,i
Interested in Trivia/Quiz Bowl?? - 1 Update,i
Saturday HIIT Cancelled - 1 Update,o
Chrysalis Zine Interest Meeting IN ONE HOUR - 2 Updates,i
[Location Change] Mezcla: Memories from Home - 1 Update,u
[WASA] GAME NIGHT HAPPENING NOW - 1 Update,u
JOIN The Engineering Society EBOARD - 1 Update,i
Large key ring -- found - 1 Update,t
$$$ LOGO DESIGN FOR WADO - 1 Update,j
SPIN 6-7 - 1 Update,o
[TOMORROW] Strike for Climate Change! - 1 Update,p
[Darshana] Open Meeting! - 1 Update,u
Join WC Dems E-board!!! - 1 Update,p
"TUESDAY 7 pm @ Tishman: Sexologist & Activist Emily Nagoski on sexual desire & pleasure, in memory of Sexual Health Educator Sama Mundlay '20 - 1 Update",w
SPIN TONIGHT: 4:30-5:30PM - 1 Update,o
ATTENTION PUB NIGHT TONIGHT BABEYYYYYYYY  - 1 Update,c
"TODAY: Marlon James, Jewett 5 pm - 1 Update",w
BOW Digest | September 2019 - 1 Update,i
Glow in the Dark Bingo Happening Tomorrow! - 1 Update,w
"[ESA] Career Paths in Economics Presentation HAPPENING MONDAY, 9/23! - 1 Update",i
"Next week 9/26 - Jean Kilbourne '64, Killing Us Softly: Advertising's Image of Women - 1 Update",w
SATURDAY SPIN: 10-11AM - 2 Updates,o
Introducing the OIS Student Workers! - 1 Update,j
REMINDER: Nordic Ski Team Open Meeting - 1 Update,o
Apply to the She's the First E-Board! - 1 Update,e
[ASU] Join ASU E-board! Applications due on Saturday - 1 Update,u
SLATER BIG/LITTLE SIGN UP - 1 Update,i
League of Legends Club! [First event] - 1 Update,i
[TODAY] Climate Strike Reflection! - 1 Update,p
Apply for KSA E-board! - 1 Update,i
Honor Code Council Applications Due Tonight 11:59pm - 1 Update,w
[TCO] Apply and join our EBoard! - 1 Update,u
Weekend Calendar! - 1 Update,w
🏾AMNESTY INT'L MEETING TODAY @5pm - 2 Updates,p
Happening in 30 min! French House Talk :Jean-Baptiste Del Amo - 1 Update,i
***HOST A PROSPIE FOR DISCOVER WELLESLEY WEEKEND!!!*** - 1 Update,w
CSA E-Board Apps due Tuesday! - 1 Update,u
"[FacStaffAnnounce] Next week 9/26 - Jean Kilbourne '64, Killing Us Softly: Advertising's Image of Women - 1 Update",w
AUDITION FOR UPSTAGE'S INDECENT! - 1 Update,a
Neuroscience Club E-board Application - 1 Update,i
[TCO] HAPPENING SATURDAY NIGHT: +886 - 1 Update,u
Ask Wendy / Ask Wanda Advice Column - 1 Update,i
[TONIGHT] KSA PRESENTS: EUPHORIA !!! - 1 Update,u
[IN TWO HOURS] Join the Wellesley Climate Strike! - 1 Update,p
Chai Sale! This Sunday! Who? You! - 1 Update,u
"Marisol LeBrón: Policing Life and Death/Race, Violence, and Resistance in Puerto Rico [10.2.19 * 4:30 PM * Library Lecture Room] - 1 Update",w
Apply for Habitat for Humanity E-Board by 9/25! - 1 Update,e
[Darshana] Open Meeting! - 1 Update,u
ATD Bubble Tea Fundraiser - 1 Update,i
[ASU] Join ASU E-board! Applications due on Saturday - 1 Update,u
[[WES]] HAPPENING TOMORROW AT 6PM! WES Open Meeting! - 1 Update,i
[TCO] +886 PARTY TONIGHT  - 2 Updates,u
Lost Laptop - 1 Update,t
BARRE 11:15AM TOMORROW - 1 Update,o
Lost Phone (potentially left on the bus) - 1 Update,t
Wellesley Writes First Writing Workshop Monday September 23!!! - 1 Update,i
Quidditch Tournament Next Saturday - 1 Update,o
Sunday Kickboxing Bootcamp Canceled! - 1 Update,o
[Mezcla] Election Results & Elections! - 1 Update,u
WASA First Meeting - 1 Update,u
[WZLY] first general meeting TOMORROW! - 1 Update,i
[TUESDAY] OPWALL PRESENTATION!! - 1 Update,i
STRENGTH CLASS 5PM KSC 202 - 1 Update,o
Apply for Habitat for Humanity E-Board by 9/25! - 1 Update,e
Requesting Your Attendance at an Urgent Town Hall - 1 Update,w
SPIN @ 4:30 - 1 Update,o
[PAID OPPORTUNITY] The Wellesley News Distribution Manager - 1 Update,j
KSA Board Game Cafe Event on SATURDAY - 1 Update,i
[The Wellesley Review] Join the art/poetry/prose boards! - 1 Update,i
Wellesley College Democrats General Meeting Tomorrow! - 1 Update,p
[Darshana] Super quick interest form - 1 Update,u
[WZLY] General Meeting Recap and DJ Signups - 2 Updates,i
Chai Sale! This Sunday! Who? You! - 1 Update,u
"[ESA] Career Paths in Economics Presentation HAPPENING MONDAY, 9/23! - 1 Update",i
Still Wanna Join SOFC? - 1 Update,g
WASA First Meeting - 1 Update,u
★☆CSA Presents: Nostalgia (Back to the 00's)!!☆★ - 1 Update,u
【BOBA】ATD Bubble Tea Fundraiser - 1 Update,i
ASTROclub Open Meeting 9/22 at 6PM! - 1 Update,i
Sept. 25th Interdisciplinary tea - SOUTH ASIAN THEORIES OF EMOTION! 🧠Psychology Club 🧠  - 1 Update,i
First Senate Agenda!!! (09/23) - 1 Update,g
BOW Foundry Apps due TODAY - 1 Update,i
DUE TOMORROW - JOIN The Engineering Society EBOARD - 1 Update,i
Consulting Club E-board - 1 Update,i
[Wellesley Anime] Looking for E-board members! - 1 Update,i
[CPLA] First Meeting Tomorrow! - 1 Update,g
Studio Sculpt TODAY! - 1 Update,o
RUN FOR WELLESLEY DEMOCRATS EBOARD - 1 Update,p
Knit Happens Meeting Tomorrow! - 1 Update,i
Bike Share Updates - 1 Update,w
The Actors From The London Stage! - 1 Update,a
Fall Break 2019Transportation Schedule - Invitation to view - 1 Update,r
TODAY 12:45 PM - Tech Talk in PNE 239 - 1 Update,w
[UPSTAGE] INDECENT AUDITIONS - 1 Update,a
Urgent: Requesting Student Testimonies - 1 Update,w
"First K-TABLE of the semester this Thursday, 9/26!! - 1 Update",u
[1 DAY LEFT] Apply for KSA Eboard! - 1 Update,u
DUE TOMORROW 6 PM: CSA E-Board Apps - 1 Update,u
"[Mezcla] Build community, join Mezcla E-board! - 1 Update",u
"[Active Minds] Be a mental health advocate, join our E-board! - 1 Update",e
[CPLA] Meeting Tonight! - 1 Update,g
[slatermail] SLATER BIG/LITTLE SIGN UP - 1 Update,i
Knit Happens Meeting Tomorrow! - 1 Update,i
DUE IN TONIGHT - JOIN The Engineering Society EBOARD - 1 Update,i
TODAY @ 6 PM: CSA Mid-Autumn Festival - 2 Updates,u
Wellesley Writes First Writing Workshop Monday September 23!!! - 1 Update,i
IN ONE HOUR: Wellesley College Democrats General Meeting - 1 Update,p
Wellesley College Bike Share Signup Form - 1 Update,r
[SAW] Meeting Tonight (Mon 9/23) - 1 Update,i
Japan Table!!!!!! - 1 Update,i
[TOMORROW AT 7PM] OPWALL PRESENTATION - 1 Update,i
[CORC] Interested in Community Organizing on Campus? - 1 Update,g
[TCO] Apply and join our EBoard! - 1 Update,u
Lost my Jacket - 1 Update,t
Paid part time research assistant job at McLean Hospital - 1 Update,j
LOST NAVY BLUE AIRPODS CASE IN MODULARS/LEAKYBEAKER - 2 Updates,t
Stone Center Construction Alternate Entrance - 1 Update,w
"Lecture: Out of the Musical Closet: Writing Handel, Monday, 9/30, 5:15pm Brackett - 1 Update",w
SPIN tonight: 7:00-8:00 pm - 1 Update,o
"[ESA] Career Paths in Economics Presentation HAPPENING MONDAY, 9/23! - 1 Update",i
"Thurs 9/26 @4:30, Jean Kilbourne '64, Killing Us Softly: Advertising's Image of Women - 1 Update",i
Whitin Observatory Public Night! - 1 Update,i
[WZLY] General Meeting Recap and DJ Signups - 1 Update,i
[All LTS] LTS News: Duo Two-Factor Authentication Required for Students by October 29th - 1 Update,w
[DON'T FORGET] LGBTQ+ Perspectives on Study Abroad! - 1 Update,w
[The Wellesley Review] 4 more days to SUBMIT! - 1 Update,i
National Food Service Workers Appreciation Cards - 1 Update,w
CIELITO LINDO OPEN PRACTICE  - 1 Update,a
UTOPIA CRUISE PARTY: Order Now!  - 1 Update,i
German Club Open Meeting - 1 Update,i
Barre Tomorrow & FYI - 1 Update,o
Senate Minutes 9/23! - 1 Update,g
[CHEM SOC] SOIs due 11:59 PM 9/28 - 1 Update,i
[DUE IN 4 HOURS] Apply for KSA Eboard! - 1 Update,i
[Wellesley Anime] Looking for E-board members! (Treasurer Deadline Extended) - 1 Update,i
[Globalist] *EXTENDED* Article Proposal Submissions - 1 Update,i
SHEs present Sex Educator Emily Nagoski - 1 Update,i
SPIN 6-7!!! - 1 Update,o
[EnAct] Climate Strike Follow-up - 1 Update,p
Vote in WC Dems Fall E-Board Elections! - 1 Update,p
DUE IN 2 HOURS: CSA E-Board Apps - 1 Update,u
SPIN TONIGHT 8-9PM KSC SPIN ROOM **No experience necessary** - 1 Update,o
Re-Imagine Nature: Creating Paper from Invasive Campus Plants - This THURSDAY Sep 26 12:45-2:00pm - 1 Update,w
[TONIGHT @ 7] OPWALL PRESENTATION - 1 Update,i
[[HABITAT FOR HUMANITY]] SIGN UP FOR RESTORE TRIP ON OCT 5TH - 1 Update,e
TIZZY IN THE PARK THIS SUNDAY!! - 1 Update,i
[UPSTAGE] INDECENT AUDITIONS - 1 Update,a
TOMORROW @ 5PM!! 🧠Psychology Club 🧠 Interdisciplinary Tea: SOUTH ASIAN THEORIES OF EMOTION - 1 Update,i
Wellesley College Republicans Open Meeting - 1 Update,p
"Kickboxing Bootcamp! Tomorrow, 8:30-9:30 AM - 1 Update",o
TONIGHT Sexologist & NYT Best Selling Author Emily Nagoski 7 pm Tishman - 1 Update,w
Lost Phone - 1 Update,t
[The Wellesley Review] 5 more days to SUBMIT! - 1 Update,i
[The Wellesley Review] 3 more days to SUBMIT! - 1 Update,i
Study Abroad Advising Hours TODAY! - 1 Update,r
[No Subject] - 1 Update,x
[SEASA] Cooking Night! - 1 Update,u
PUB NITE: EAST COAST V. WEST COAST 🤪 - 1 Update,c
[Mezcla] Eboard Deadline & Meeting Tomorrow! - 1 Update,u
Neuroscience Club E-board Application - 1 Update,i
Sept. 29th Reading Group - AN ISLAMIC APPROACH TO PSYCH. 🧠Psychology Club 🧠 - 1 Update,i
BOLLYWOOD PUB NIGHT!!! - 1 Update,c
Business Competition Opportunity - 1 Update,v
【BOBA】ATD Bubble Tea Fundraiser - 2 Updates,i
dream and fight hard with Wellesley 4 Warren! - 1 Update,p
Alumna Diana Lobontiu '18 brings her solo show to Boston this weekend! - 1 Update,v
Write for the Wellesley News!!! - 1 Update,i
Still Wanna Join SOFC? - 1 Update,g
am i That Wellesley Student™ - 2 Updates,t
Join CCAC E-board if you are interested in Chinese Classical Art! - 1 Update,i
